Trs_Id,Mode_Cd,Service_Cd,Time_Period_Desc,Time_Service_Begins,Time_Serivice_Ends,Vehicles_In_Operation,Passenger_Cars,Vehicle_Or_Train_Miles,Vehicle_Or_Train_Hours,Vehicle_Or_Train_Rev_Miles,Vehicle_Or_Train_Rev_Hours,Passenger_Car_Miles,Passenger_Car_Rev_Miles,Passenger_Car_Sched_Rev_Miles,Passenger_Car_Hours,Passenger_Car_Revenue_Hours,Vehicle_Sched_Miles,Charter_Servie_Hours,School_Bus_Hours,Unlinked_Passenger_Trips,Passenger_Miles,Operated_Num,Days_Operated,Strikes,Declared_Emergencies,Ada_Unlinked_Passenger_Trips
0001,DR,PT,Average Weekday - AM Peak                         ,                                                  ,                                                  ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,               ,                  ,                
0001,DR,PT,Average Weekday - Midday                          ,                                                  ,                                                  ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,               ,                  ,                
0001,DR,PT,Average Weekday - PM Peak                         ,                                                  ,                                                  ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,               ,                  ,                
0001,DR,PT,Average Weekday - Other                           ,                                                  ,                                                  ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,               ,                  ,                
0001,DR,PT,Average Typical Weekday                           ,0,2400,336,                ,"37,615","2,556","32,075","2,241",                ,                ,                ,                ,                ,                ,                ,                ,"3,958","41,027",                ,261,               ,                  ,                
0001,DR,PT,Average Typical Saturday                          ,0,2400,124,                ,"16,403",991,"13,792",863,                ,                ,                ,                ,                ,                ,                ,                ,"1,421","15,247",                ,52,               ,                  ,                
0001,DR,PT,Average Typical Sunday                            ,0,2400,120,                ,"15,525",943,"13,042",818,                ,                ,                ,                ,                ,                ,                ,                ,"1,349","13,278",                ,52,               ,                  ,                
0001,DR,PT,Annual Total                                      ,                                                  ,                                                  ,                ,                ,"11,477,849","767,764","9,766,934","672,216",                ,                ,                ,                ,                ,                ,                ,                ,"1,177,175","12,191,403",                ,365,               ,                  ,"1,177,175"
0001,DT,PT,Average Weekday - AM Peak                         ,                                                  ,                                                  ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,               ,                  ,                
0001,DT,PT,Average Weekday - Midday                          ,                                                  ,                                                  ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,               ,                  ,                
0001,DT,PT,Average Weekday - PM Peak                         ,                                                  ,                                                  ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,               ,                  ,                
0001,DT,PT,Average Weekday - Other                           ,                                                  ,                                                  ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,               ,                  ,                
0001,DT,PT,Average Typical Weekday                           ,                                                  ,                                                  ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,               ,                  ,                
